APPLY migrate-images-to-r2  lang=ko era=- set=- limit=∞ conc=6 thumbW=245
  대상 카드(외부 large 보유): 17594
⚠ [migrate-images-to-r2] --allow-protected: 동결 카드팩 수정 허용됨 — mega-brave-symphonia, mega-symphonia, mega-infernox, mega-dream-ex, mega-munikisuzero, mega-ninja-spinner, mega-goods, mega-decks, mega-start-deck-100, og-s10d, og-s10a, og-s10b, og-s10p, og-s11, og-s11a, og-s12, og-s12a, og-s9, og-s9a, og-sm1+, og-sm10, og-sn10a, og-sm10b, og-sn11, og-sm11a, og-sm11b, og-sm12, og-sm12a, og-sm1m, og-sm1s, og-sm2+, og-sm2k, og-sm2l, og-sm3+, sm-decks, og-sm3h, og-sm3n, og-sm4+, og-sm4a, og-sm4s, og-sm5+, og-sm5m, og-sm5s, og-sm6, og-sm6a, og-sm6b, og-sm7, og-sm7a, og-sm7b, og-sm8, og-sm8a, og-sm8b, og-sm9, og-sm9a, og-sm9b, og-smp2, sv-151, sv-destined-rivals, sv-black-bolt-white-flare, sv-white-flare, sv-triplet-beat, sv-paldea-evolved, sv-snow-hazard, sv-obsidian-flames, sv-raging-surf, sv-paldean-fates, sv-paradox-rift, sv-future-flash, sv-crimson-haze, sv-temporal-forces, sv-cyber-judge, sv-twilight-masquerade, sv-shrouded-fable, sv-stellar-crown, sv-paradise-dragona, sv-surging-sparks, sv-prismatic-evolutions, sv-journey-together, sv-heatwave-arena, sv-decks, sv-goods, sv-ex-start-deck, sv-start-deck-generations
  충돌분리(regionCardId) 적용 카드: 82
  [14400/17594] dl=14399 resume=0 fail=1 18870.6MB
  [14500/17594] dl=14499 resume=0 fail=1 19037.8MB
  [14600/17594] dl=14599 resume=0 fail=1 19219.5MB
  [14700/17594] dl=14699 resume=0 fail=1 19365.2MB
  [14800/17594] dl=14799 resume=0 fail=1 19547.2MB
  [14900/17594] dl=14899 resume=0 fail=1 19709.8MB
  [15000/17594] dl=14999 resume=0 fail=1 19856.8MB
  [15100/17594] dl=15099 resume=0 fail=1 19961.7MB
  [15200/17594] dl=15199 resume=0 fail=1 20116.6MB
  [15300/17594] dl=15299 resume=0 fail=1 20220.5MB
  [15400/17594] dl=15399 resume=0 fail=1 20343.4MB
  [15500/17594] dl=15499 resume=0 fail=1 20444.2MB
  [15600/17594] dl=15599 resume=0 fail=1 20573.1MB
  [15700/17594] dl=15699 resume=0 fail=1 20684.0MB
  [15800/17594] dl=15799 resume=0 fail=1 20837.7MB
  [15900/17594] dl=15899 resume=0 fail=1 20950.7MB
  [16000/17594] dl=15999 resume=0 fail=1 21054.9MB
  [16100/17594] dl=16099 resume=0 fail=1 21086.0MB
  [16200/17594] dl=16198 resume=0 fail=2 21230.3MB
  [16300/17594] dl=16298 resume=0 fail=2 21287.7MB
  [16400/17594] dl=16398 resume=0 fail=2 21384.4MB
  [16500/17594] dl=16498 resume=0 fail=2 21392.6MB
  [16600/17594] dl=16598 resume=0 fail=2 21404.5MB
  [16700/17594] dl=16698 resume=0 fail=2 21414.7MB
  [16800/17594] dl=16798 resume=0 fail=2 21424.2MB
  [16900/17594] dl=16898 resume=0 fail=2 21436.7MB
  [17000/17594] dl=16998 resume=0 fail=2 21449.3MB
  [17100/17594] dl=17098 resume=0 fail=2 21461.2MB
  [17200/17594] dl=17199 resume=0 fail=2 21473.7MB
  [17300/17594] dl=17298 resume=0 fail=2 21486.3MB
  [17400/17594] dl=17398 resume=0 fail=2 21495.2MB
  [17500/17594] dl=17498 resume=0 fail=2 21502.2MB

=== 결과 ===
  카드 17594 | 신규=17592 재개스킵=0 실패=2
  다운로드 21510.0MB (21.006GB)
  실패 로그: tmp/r2-migration-failed.json (재실행하면 멱등 재시도)
